2020-10-23 16:46:56,991 - root - INFO - Start testAll
2020-10-23 16:46:56,991 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0347
2020-10-23 16:46:58,998 - root - INFO - CRU Version: AC12387
2020-10-23 16:46:58,998 - root - INFO - RDO Version: BED27B3
2020-10-23 16:46:59,000 - root - INFO - DNA = 0x40020001012947641d40c3c5
2020-10-23 16:47:00,555 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-10-23 16:47:00,557 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-10-23 16:47:00,558 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-10-23 16:47:04,599 - root - INFO - GBTx0 locked to CRU
2020-10-23 16:47:04,601 - root - INFO - GBTx2 locked to CRU
2020-10-23 16:47:04,603 - root - INFO - GBTx0(adres=367=testFuse1) = 0x9f
2020-10-23 16:47:04,603 - root - INFO - GBTx0(adres=368=testFuse2) = 0x97
2020-10-23 16:47:04,605 - root - INFO - GBTx1(adres=367=testFuse1) = 0x78
2020-10-23 16:47:04,605 - root - INFO - GBTx1(adres=368=testFuse2) = 0x97
2020-10-23 16:47:04,607 - root - INFO - GBTx2(adres=367=testFuse1) = 0x83
2020-10-23 16:47:04,608 - root - INFO - GBTx2(adres=368=testFuse2) = 0x97
2020-10-23 16:47:04,609 - root - INFO - Number of FEC Errors at start of test = 0
2020-10-23 16:47:06,614 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-10-23 16:47:06,675 - root - INFO - MGT errors: 0
2020-10-23 16:47:06,676 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-10-23 16:47:06,676 - root - INFO - Disable DCLK
2020-10-23 16:47:06,676 - root - INFO - reset all prbs  receivers
2020-10-23 16:47:06,676 - root - INFO - clear all prbs error counters
2020-10-23 16:47:06,676 - root - INFO - inject errors
2020-10-23 16:47:06,677 - root - INFO - wait 5.0 seconds
2020-10-23 16:47:11,682 - root - INFO - sleep done
2020-10-23 16:47:11,744 - root - INFO - OK, smaError 6
2020-10-23 16:47:11,744 - root - INFO - OK, headerJ13Error0 6
2020-10-23 16:47:11,744 - root - INFO - OK, headerJ13Error1 12
2020-10-23 16:47:11,745 - root - INFO - OK, headerJ13Error2 18
2020-10-23 16:47:11,745 - root - INFO - OK, headerJ13Error3 24
2020-10-23 16:47:11,745 - root - INFO - OK, headerJ13Error4 30
2020-10-23 16:47:11,745 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-23 16:47:11,745 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-23 16:47:11,745 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-23 16:47:11,745 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-23 16:47:11,746 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-23 16:47:11,746 - root - INFO - OK, PA3Error0 6
2020-10-23 16:47:11,746 - root - INFO - OK, PA3Error1 12
2020-10-23 16:47:11,746 - root - INFO - OK, PA3Error2 18
2020-10-23 16:47:11,747 - root - INFO - OK, PA3Error3 24
2020-10-23 16:47:11,747 - root - INFO - OK, PA3Error4 30
2020-10-23 16:47:11,747 - root - INFO - OK, PA3Error5 6
2020-10-23 16:47:11,747 - root - INFO - OK, PA3Error6 12
2020-10-23 16:47:11,747 - root - INFO - OK, PA3Error7 18
2020-10-23 16:47:11,748 - root - INFO - OK, PA3Error8 24
2020-10-23 16:47:11,748 - root - INFO - OK, PA3Error9 30
2020-10-23 16:47:11,748 - root - INFO - OK, DCTRLerror0 6
2020-10-23 16:47:11,748 - root - INFO - OK, DCTRLerror1 12
2020-10-23 16:47:11,749 - root - INFO - OK, DCTRLerror2 18
2020-10-23 16:47:11,749 - root - INFO - OK, DCTRLerror3 24
2020-10-23 16:47:11,749 - root - INFO - OK, DCTRLerror4 30
2020-10-23 16:47:11,749 - root - INFO - OK, DCLKBerror0 0
2020-10-23 16:47:11,749 - root - INFO - OK, DCLKBerror1 0
2020-10-23 16:47:11,750 - root - INFO - OK, DCLKBerror2 0
2020-10-23 16:47:11,750 - root - INFO - OK, DCLKBerror3 0
2020-10-23 16:47:11,750 - root - INFO - OK, DCLKBerror4 0
2020-10-23 16:47:11,750 - root - INFO - OK, DCLKCerror0 0
2020-10-23 16:47:11,750 - root - INFO - OK, DCLKCerror1 0
2020-10-23 16:47:11,751 - root - INFO - OK, DCLKCerror2 0
2020-10-23 16:47:11,751 - root - INFO - OK, DCLKCerror3 0
2020-10-23 16:47:11,751 - root - INFO - OK, DCLKCerror4 0
2020-10-23 16:47:11,751 - root - INFO - OK, AUXerror0 6
2020-10-23 16:47:11,751 - root - INFO - OK, AUXerror1 12
2020-10-23 16:47:11,751 - root - INFO - OK, AUXerror2 18
2020-10-23 16:47:11,752 - root - INFO - OK, AUXerror3 24
2020-10-23 16:47:11,752 - root - INFO - OK, PUerror0 6
2020-10-23 16:47:11,752 - root - INFO - OK, PUerror1 12
2020-10-23 16:47:11,752 - root - INFO - OK, PUerror2 18
2020-10-23 16:47:11,752 - root - INFO - OK, PUerror3 24
2020-10-23 16:47:11,752 - root - INFO - OK, PUerror4 30
2020-10-23 16:47:11,753 - root - INFO - OK, PUerror5 36
2020-10-23 16:47:11,753 - root - INFO - OK, PUerror6 42
2020-10-23 16:47:11,753 - root - INFO - OK, PUerror7 48
2020-10-23 16:47:11,753 - root - INFO - Enable DCLK
2020-10-23 16:47:11,753 - root - INFO - reset all prbs  receivers
2020-10-23 16:47:11,753 - root - INFO - clear all prbs error counters
2020-10-23 16:47:11,753 - root - INFO - inject errors
2020-10-23 16:47:11,754 - root - INFO - wait 300 seconds
2020-10-23 16:47:11,754 - root - INFO - Number of GPIO Errors so far = 0
2020-10-23 16:47:11,754 - root - INFO - Number of MGT errors so far = 0
2020-10-23 16:52:12,434 - root - INFO - sleep done
2020-10-23 16:52:12,435 - root - INFO - OK, smaError 6
2020-10-23 16:52:12,436 - root - INFO - OK, headerJ13Error0 6
2020-10-23 16:52:12,437 - root - INFO - OK, headerJ13Error1 12
2020-10-23 16:52:12,438 - root - INFO - OK, headerJ13Error2 18
2020-10-23 16:52:12,438 - root - INFO - OK, headerJ13Error3 24
2020-10-23 16:52:12,439 - root - INFO - OK, headerJ13Error4 30
2020-10-23 16:52:12,440 - root - INFO - OK, PA3headerJ14Error0 6
2020-10-23 16:52:12,440 - root - INFO - OK, PA3headerJ14Error1 12
2020-10-23 16:52:12,441 - root - INFO - OK, PA3headerJ14Error2 18
2020-10-23 16:52:12,441 - root - INFO - OK, PA3headerJ14Error3 24
2020-10-23 16:52:12,442 - root - INFO - OK, PA3headerJ14Error4 30
2020-10-23 16:52:12,443 - root - INFO - OK, PA3Error0 6
2020-10-23 16:52:12,443 - root - INFO - OK, PA3Error1 12
2020-10-23 16:52:12,444 - root - INFO - OK, PA3Error2 18
2020-10-23 16:52:12,444 - root - INFO - OK, PA3Error3 24
2020-10-23 16:52:12,445 - root - INFO - OK, PA3Error4 30
2020-10-23 16:52:12,445 - root - INFO - OK, PA3Error5 6
2020-10-23 16:52:12,446 - root - INFO - OK, PA3Error6 12
2020-10-23 16:52:12,447 - root - INFO - OK, PA3Error7 18
2020-10-23 16:52:12,447 - root - INFO - OK, PA3Error8 24
2020-10-23 16:52:12,448 - root - INFO - OK, PA3Error9 30
2020-10-23 16:52:12,448 - root - INFO - OK, DCTRLerror0 6
2020-10-23 16:52:12,449 - root - INFO - OK, DCTRLerror1 12
2020-10-23 16:52:12,449 - root - INFO - OK, DCTRLerror2 18
2020-10-23 16:52:12,450 - root - INFO - OK, DCTRLerror3 24
