2020-11-12 10:35:02,350 - root - INFO - Start testAll
2020-11-12 10:35:02,350 - root - INFO - Board serial number = I0610-01-R00,S/20772/1-001,0358
2020-11-12 10:35:04,357 - root - INFO - CRU Version: AC12387
2020-11-12 10:35:04,358 - root - INFO - RDO Version: BED27B3
2020-11-12 10:35:04,360 - root - INFO - DNA = 0x40020001012947641d508145
2020-11-12 10:35:05,914 - root - INFO - Fixedpattern GBTx0(address=374)=0xa5
2020-11-12 10:35:05,915 - root - INFO - Fixedpattern GBTx1(address=374)=0xa5
2020-11-12 10:35:05,916 - root - INFO - Fixedpattern GBTx2(address=374)=0xa5
2020-11-12 10:35:07,948 - root - INFO - GBTx0 locked to CRU
2020-11-12 10:35:07,949 - root - INFO - GBTx2 locked to CRU
2020-11-12 10:35:07,951 - root - INFO - GBTx0(adres=367=testFuse1) = 0xf0
2020-11-12 10:35:07,951 - root - INFO - GBTx0(adres=368=testFuse2) = 0xa6
2020-11-12 10:35:07,954 - root - INFO - GBTx1(adres=367=testFuse1) = 0xce
2020-11-12 10:35:07,954 - root - INFO - GBTx1(adres=368=testFuse2) = 0xa6
2020-11-12 10:35:07,957 - root - INFO - GBTx2(adres=367=testFuse1) = 0xdc
2020-11-12 10:35:07,957 - root - INFO - GBTx2(adres=368=testFuse2) = 0xa6
2020-11-12 10:35:07,959 - root - INFO - Number of FEC Errors at start of test = 0
2020-11-12 10:35:09,965 - root - INFO - MGT status: (8, {'init_done': 0, 'reset_rx_done': 0, 'link_status': 0, 'link_down_latched': 1})
2020-11-12 10:35:09,966 - root - INFO - MGT errors: 0
2020-11-12 10:35:09,967 - root - INFO - read_prbs_locked: MGT locked 0xfffffff
2020-11-12 10:35:09,967 - root - INFO - Disable DCLK
2020-11-12 10:35:09,967 - root - INFO - reset all prbs  receivers
2020-11-12 10:35:09,968 - root - INFO - clear all prbs error counters
2020-11-12 10:35:09,968 - root - INFO - inject errors
2020-11-12 10:35:09,970 - root - INFO - wait 5.0 seconds
2020-11-12 10:35:14,973 - root - INFO - sleep done
2020-11-12 10:35:15,036 - root - INFO - OK, smaError 6
2020-11-12 10:35:15,037 - root - INFO - OK, headerJ13Error0 6
2020-11-12 10:35:15,037 - root - INFO - OK, headerJ13Error1 12
2020-11-12 10:35:15,038 - root - INFO - OK, headerJ13Error2 18
2020-11-12 10:35:15,039 - root - INFO - OK, headerJ13Error3 24
2020-11-12 10:35:15,039 - root - INFO - OK, headerJ13Error4 30
2020-11-12 10:35:15,040 - root - INFO - OK, PA3headerJ14Error0 6
2020-11-12 10:35:15,040 - root - INFO - OK, PA3headerJ14Error1 12
2020-11-12 10:35:15,041 - root - INFO - OK, PA3headerJ14Error2 18
2020-11-12 10:35:15,042 - root - INFO - OK, PA3headerJ14Error3 24
2020-11-12 10:35:15,042 - root - INFO - OK, PA3headerJ14Error4 30
2020-11-12 10:35:15,043 - root - INFO - OK, PA3Error0 6
2020-11-12 10:35:15,043 - root - INFO - OK, PA3Error1 12
2020-11-12 10:35:15,044 - root - INFO - OK, PA3Error2 18
2020-11-12 10:35:15,044 - root - INFO - OK, PA3Error3 24
2020-11-12 10:35:15,045 - root - INFO - OK, PA3Error4 30
2020-11-12 10:35:15,046 - root - INFO - OK, PA3Error5 6
2020-11-12 10:35:15,046 - root - INFO - OK, PA3Error6 12
2020-11-12 10:35:15,047 - root - INFO - OK, PA3Error7 18
2020-11-12 10:35:15,047 - root - INFO - OK, PA3Error8 24
2020-11-12 10:35:15,048 - root - INFO - OK, PA3Error9 30
2020-11-12 10:35:15,049 - root - INFO - OK, DCTRLerror0 6
2020-11-12 10:35:15,049 - root - INFO - OK, DCTRLerror1 12
2020-11-12 10:35:15,050 - root - INFO - OK, DCTRLerror2 18
2020-11-12 10:35:15,050 - root - INFO - OK, DCTRLerror3 24
2020-11-12 10:35:15,051 - root - INFO - OK, DCTRLerror4 30
2020-11-12 10:35:15,051 - root - INFO - OK, DCLKBerror0 0
2020-11-12 10:35:15,052 - root - INFO - OK, DCLKBerror1 0
2020-11-12 10:35:15,052 - root - INFO - OK, DCLKBerror2 0
2020-11-12 10:35:15,052 - root - INFO - OK, DCLKBerror3 0
2020-11-12 10:35:15,053 - root - INFO - OK, DCLKBerror4 0
2020-11-12 10:35:15,053 - root - INFO - OK, DCLKCerror0 0
2020-11-12 10:35:15,053 - root - INFO - OK, DCLKCerror1 0
2020-11-12 10:35:15,053 - root - INFO - OK, DCLKCerror2 0
2020-11-12 10:35:15,053 - root - INFO - OK, DCLKCerror3 0
2020-11-12 10:35:15,053 - root - INFO - OK, DCLKCerror4 0
2020-11-12 10:35:15,054 - root - INFO - OK, AUXerror0 6
2020-11-12 10:35:15,054 - root - INFO - OK, AUXerror1 12
2020-11-12 10:35:15,054 - root - INFO - OK, AUXerror2 18
2020-11-12 10:35:15,054 - root - INFO - OK, AUXerror3 24
2020-11-12 10:35:15,054 - root - INFO - OK, PUerror0 6
2020-11-12 10:35:15,054 - root - INFO - OK, PUerror1 12
2020-11-12 10:35:15,055 - root - INFO - OK, PUerror2 18
2020-11-12 10:35:15,055 - root - INFO - OK, PUerror3 24
2020-11-12 10:35:15,055 - root - INFO - OK, PUerror4 30
